site_key,otu_num,seq_abund,class,order,family,genus,taxon,site_name,region,yr_since,yr_rank,field_type
1,otu_1,34.714285714285715,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Douhan3,BBRP1,BM,16,9,restored
1,otu_2,96.71428571428572,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G15,BBRP1,BM,16,9,restored
1,otu_3,84.14285714285714,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,NA,BBRP1,BM,16,9,restored
1,otu_4,11.428571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Whitfield type 17,BBRP1,BM,16,9,restored
1,otu_5,201.71428571428572,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_6,41.57142857142857,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,NA,BBRP1,BM,16,9,restored
1,otu_7,49.285714285714285,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G23,BBRP1,BM,16,9,restored
1,otu_8,120.42857142857144,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,otu_9,3.7142857142857144,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Glo7,BBRP1,BM,16,9,restored
1,otu_10,9,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus Douhan9,BBRP1,BM,16,9,restored
1,otu_11,72.28571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,otu_12,0.42857142857142855,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G18,BBRP1,BM,16,9,restored
1,otu_13,12,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus viscosum,BBRP1,BM,16,9,restored
1,otu_15,28,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_16,1.2857142857142858,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus ORVIN GLO4,BBRP1,BM,16,9,restored
1,otu_17,23.571428571428573,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G22,BBRP1,BM,16,9,restored
1,otu_18,0.5714285714285714,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_19,9.714285714285714,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_20,6.571428571428571,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_23,5.571428571428571,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_24,9.142857142857142,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G7,BBRP1,BM,16,9,restored
1,otu_25,4.285714285714286,Glomeromycetes,Glomerales,Claroideoglomeraceae,Claroideoglomus,Claroideoglomus acnaGlo7,BBRP1,BM,16,9,restored
1,otu_28,19,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Yamato2005 D,BBRP1,BM,16,9,restored
1,otu_29,13.285714285714286,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_30,2.2857142857142856,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,NA,BBRP1,BM,16,9,restored
1,otu_32,3.5714285714285716,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus MO-G20,BBRP1,BM,16,9,restored
1,otu_34,14.428571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp.,BBRP1,BM,16,9,restored
1,otu_35,0.5714285714285714,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Wirsel OTU4,BBRP1,BM,16,9,restored
1,otu_37,15.428571428571429,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_38,10.571428571428571,Glomeromycetes,Diversisporales,Diversisporaceae,Diversispora,Diversispora MO-GC1,BBRP1,BM,16,9,restored
1,otu_44,2.2857142857142856,Paraglomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus Pa 1,BBRP1,BM,16,9,restored
1,otu_45,3.5714285714285716,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus Torrecillas12b Glo G13,BBRP1,BM,16,9,restored
1,otu_48,83,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_49,47.714285714285715,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
1,otu_50,0.42857142857142855,Glomeromycetes,Glomerales,Glomeraceae,Glomus,NA,BBRP1,BM,16,9,restored
